"text","urgency","authority","fear","impersonation","cleaned_text"
"Court Authority alert: penalties will be applied. Please complete verification to avoid consequences.","1","1","1","1","Court Authority alert: penalties will be applied. Please complete verification to avoid consequences."
"Police Department alert: device has been compromised. Please respond within 24 hours.","1","1","1","1","Police Department alert: device has been compromised. Please respond within 24 hours."
"Meta Business Security alert: financial loss may occur. Please click the link to confirm details.","1","1","1","1","Meta Business Security alert: financial loss may occur. Please click the link to confirm details."
"Court Authority alert: data leak detected. Please complete verification to avoid consequences.","1","1","1","1","Court Authority alert: data leak detected. Please complete verification to avoid consequences."
"RBI alert: financial loss may occur. Please click the link to confirm details.","1","1","1","1","RBI alert: financial loss may occur. Please click the link to confirm details."
"Microsoft Security Team alert: data leak detected. Please update your information now.","1","1","1","1","Microsoft Security Team alert: data leak detected. Please update your information now."
"Income Tax Department alert: security breach identified. Please complete verification to avoid consequences.","1","1","1","1","Income Tax Department alert: security breach identified. Please complete verification to avoid consequences."
"Police Department alert: financial loss may occur. Please update your information now.","1","1","1","1","Police Department alert: financial loss may occur. Please update your information now."
"Meta Business Security alert: financial loss may occur. Please complete verification to avoid consequences.","1","1","1","1","Meta Business Security alert: financial loss may occur. Please complete verification to avoid consequences."
"Bank Compliance Department alert: account will be suspended. Please click the link to confirm details.","1","1","1","1","Bank Compliance Department alert: account will be suspended. Please click the link to confirm details."
"Apple Support alert: legal action will be initiated. Please respond within 24 hours.","1","1","1","1","Apple Support alert: legal action will be initiated. Please respond within 24 hours."
"Managing Director alert: financial loss may occur. Please complete verification to avoid consequences.","1","1","1","1","Managing Director alert: financial loss may occur. Please complete verification to avoid consequences."
"Company CEO alert: financial loss may occur. Please verify your identity immediately.","1","1","1","1","Company CEO alert: financial loss may occur. Please verify your identity immediately."
"RBI alert: financial loss may occur. Please verify your identity immediately.","1","1","1","1","RBI alert: financial loss may occur. Please verify your identity immediately."
"Managing Director alert: account will be suspended. Please complete verification to avoid consequences.","1","1","1","1","Managing Director alert: account will be suspended. Please complete verification to avoid consequences."
"Apple Support alert: penalties will be applied. Please complete verification to avoid consequences.","1","1","1","1","Apple Support alert: penalties will be applied. Please complete verification to avoid consequences."
"FBI alert: data leak detected. Please update your information now.","1","1","1","1","FBI alert: data leak detected. Please update your information now."
"Income Tax Department alert: account will be suspended. Please complete verification to avoid consequences.","1","1","1","1","Income Tax Department alert: account will be suspended. Please complete verification to avoid consequences."
"Apple Support alert: penalties will be applied. Please click the link to confirm details.","1","1","1","1","Apple Support alert: penalties will be applied. Please click the link to confirm details."
"Microsoft Security Team alert: financial loss may occur. Please verify your identity immediately.","1","1","1","1","Microsoft Security Team alert: financial loss may occur. Please verify your identity immediately."
"RBI alert: financial loss may occur. Please update your information now.","1","1","1","1","RBI alert: financial loss may occur. Please update your information now."
"Court Authority alert: account will be suspended. Please verify your identity immediately.","1","1","1","1","Court Authority alert: account will be suspended. Please verify your identity immediately."
"RBI alert: device has been compromised. Please update your information now.","1","1","1","1","RBI alert: device has been compromised. Please update your information now."
"Apple Support alert: financial loss may occur. Please complete verification to avoid consequences.","1","1","1","1","Apple Support alert: financial loss may occur. Please complete verification to avoid consequences."
"Meta Business Security alert: legal action will be initiated. Please respond within 24 hours.","1","1","1","1","Meta Business Security alert: legal action will be initiated. Please respond within 24 hours."
"Cyber Crime Cell alert: unauthorized access detected. Please respond within 24 hours.","1","1","1","1","Cyber Crime Cell alert: unauthorized access detected. Please respond within 24 hours."
"Apple Support alert: account will be suspended. Please verify your identity immediately.","1","1","1","1","Apple Support alert: account will be suspended. Please verify your identity immediately."
"Police Department alert: data leak detected. Please update your information now.","1","1","1","1","Police Department alert: data leak detected. Please update your information now."
"RBI alert: account will be suspended. Please respond within 24 hours.","1","1","1","1","RBI alert: account will be suspended. Please respond within 24 hours."
"Court Authority alert: device has been compromised. Please verify your identity immediately.","1","1","1","1","Court Authority alert: device has been compromised. Please verify your identity immediately."
"Bank Compliance Department alert: penalties will be applied. Please update your information now.","1","1","1","1","Bank Compliance Department alert: penalties will be applied. Please update your information now."
"HR Department alert: account will be suspended. Please complete verification to avoid consequences.","1","1","1","1","HR Department alert: account will be suspended. Please complete verification to avoid consequences."
"FBI alert: account will be suspended. Please update your information now.","1","1","1","1","FBI alert: account will be suspended. Please update your information now."
"Income Tax Department alert: security breach identified. Please respond within 24 hours.","1","1","1","1","Income Tax Department alert: security breach identified. Please respond within 24 hours."
"Cyber Crime Cell alert: financial loss may occur. Please respond within 24 hours.","1","1","1","1","Cyber Crime Cell alert: financial loss may occur. Please respond within 24 hours."
"Cyber Crime Cell alert: legal action will be initiated. Please respond within 24 hours.","1","1","1","1","Cyber Crime Cell alert: legal action will be initiated. Please respond within 24 hours."
"RBI alert: data leak detected. Please update your information now.","1","1","1","1","RBI alert: data leak detected. Please update your information now."
"Court Authority alert: security breach identified. Please verify your identity immediately.","1","1","1","1","Court Authority alert: security breach identified. Please verify your identity immediately."
"Cyber Crime Cell alert: data leak detected. Please update your information now.","1","1","1","1","Cyber Crime Cell alert: data leak detected. Please update your information now."
"Apple Support alert: financial loss may occur. Please respond within 24 hours.","1","1","1","1","Apple Support alert: financial loss may occur. Please respond within 24 hours."
"Income Tax Department alert: penalties will be applied. Please verify your identity immediately.","1","1","1","1","Income Tax Department alert: penalties will be applied. Please verify your identity immediately."
"Bank Compliance Department alert: legal action will be initiated. Please respond within 24 hours.","1","1","1","1","Bank Compliance Department alert: legal action will be initiated. Please respond within 24 hours."
"Income Tax Department alert: penalties will be applied. Please update your information now.","1","1","1","1","Income Tax Department alert: penalties will be applied. Please update your information now."
"Meta Business Security alert: device has been compromised. Please click the link to confirm details.","1","1","1","1","Meta Business Security alert: device has been compromised. Please click the link to confirm details."
"FBI alert: account will be suspended. Please respond within 24 hours.","1","1","1","1","FBI alert: account will be suspended. Please respond within 24 hours."
"FBI alert: financial loss may occur. Please click the link to confirm details.","1","1","1","1","FBI alert: financial loss may occur. Please click the link to confirm details."
"Company CEO alert: financial loss may occur. Please update your information now.","1","1","1","1","Company CEO alert: financial loss may occur. Please update your information now."
"Bank Compliance Department alert: legal action will be initiated. Please complete verification to avoid consequences.","1","1","1","1","Bank Compliance Department alert: legal action will be initiated. Please complete verification to avoid consequences."
"Managing Director alert: security breach identified. Please verify your identity immediately.","1","1","1","1","Managing Director alert: security breach identified. Please verify your identity immediately."
"Cyber Crime Cell alert: data leak detected. Please click the link to confirm details.","1","1","1","1","Cyber Crime Cell alert: data leak detected. Please click the link to confirm details."
"Bank Compliance Department alert: unauthorized access detected. Please respond within 24 hours.","1","1","1","1","Bank Compliance Department alert: unauthorized access detected. Please respond within 24 hours."
"Apple Support alert: penalties will be applied. Please update your information now.","1","1","1","1","Apple Support alert: penalties will be applied. Please update your information now."
"RBI alert: legal action will be initiated. Please verify your identity immediately.","1","1","1","1","RBI alert: legal action will be initiated. Please verify your identity immediately."
"HR Department alert: security breach identified. Please complete verification to avoid consequences.","1","1","1","1","HR Department alert: security breach identified. Please complete verification to avoid consequences."
"Cyber Crime Cell alert: penalties will be applied. Please click the link to confirm details.","1","1","1","1","Cyber Crime Cell alert: penalties will be applied. Please click the link to confirm details."
"Company CEO alert: legal action will be initiated. Please update your information now.","1","1","1","1","Company CEO alert: legal action will be initiated. Please update your information now."
"HR Department alert: penalties will be applied. Please respond within 24 hours.","1","1","1","1","HR Department alert: penalties will be applied. Please respond within 24 hours."
"Managing Director alert: penalties will be applied. Please click the link to confirm details.","1","1","1","1","Managing Director alert: penalties will be applied. Please click the link to confirm details."
"Meta Business Security alert: device has been compromised. Please update your information now.","1","1","1","1","Meta Business Security alert: device has been compromised. Please update your information now."
"Cyber Crime Cell alert: legal action will be initiated. Please click the link to confirm details.","1","1","1","1","Cyber Crime Cell alert: legal action will be initiated. Please click the link to confirm details."
"Income Tax Department alert: data leak detected. Please update your information now.","1","1","1","1","Income Tax Department alert: data leak detected. Please update your information now."
"Apple Support alert: data leak detected. Please click the link to confirm details.","1","1","1","1","Apple Support alert: data leak detected. Please click the link to confirm details."
"Managing Director alert: legal action will be initiated. Please respond within 24 hours.","1","1","1","1","Managing Director alert: legal action will be initiated. Please respond within 24 hours."
"Police Department alert: penalties will be applied. Please verify your identity immediately.","1","1","1","1","Police Department alert: penalties will be applied. Please verify your identity immediately."
"Microsoft Security Team alert: legal action will be initiated. Please click the link to confirm details.","1","1","1","1","Microsoft Security Team alert: legal action will be initiated. Please click the link to confirm details."
"Microsoft Security Team alert: account will be suspended. Please respond within 24 hours.","1","1","1","1","Microsoft Security Team alert: account will be suspended. Please respond within 24 hours."
"Income Tax Department alert: device has been compromised. Please update your information now.","1","1","1","1","Income Tax Department alert: device has been compromised. Please update your information now."
"Google Security Team alert: penalties will be applied. Please update your information now.","1","1","1","1","Google Security Team alert: penalties will be applied. Please update your information now."
"HR Department alert: penalties will be applied. Please complete verification to avoid consequences.","1","1","1","1","HR Department alert: penalties will be applied. Please complete verification to avoid consequences."
"Google Security Team alert: penalties will be applied. Please verify your identity immediately.","1","1","1","1","Google Security Team alert: penalties will be applied. Please verify your identity immediately."
"Google Security Team alert: device has been compromised. Please complete verification to avoid consequences.","1","1","1","1","Google Security Team alert: device has been compromised. Please complete verification to avoid consequences."
"Police Department alert: device has been compromised. Please verify your identity immediately.","1","1","1","1","Police Department alert: device has been compromised. Please verify your identity immediately."
"Court Authority alert: financial loss may occur. Please update your information now.","1","1","1","1","Court Authority alert: financial loss may occur. Please update your information now."
"FBI alert: legal action will be initiated. Please complete verification to avoid consequences.","1","1","1","1","FBI alert: legal action will be initiated. Please complete verification to avoid consequences."
"Meta Business Security alert: account will be suspended. Please verify your identity immediately.","1","1","1","1","Meta Business Security alert: account will be suspended. Please verify your identity immediately."
"Company CEO alert: data leak detected. Please click the link to confirm details.","1","1","1","1","Company CEO alert: data leak detected. Please click the link to confirm details."
"Apple Support alert: financial loss may occur. Please update your information now.","1","1","1","1","Apple Support alert: financial loss may occur. Please update your information now."
"Google Security Team alert: penalties will be applied. Please complete verification to avoid consequences.","1","1","1","1","Google Security Team alert: penalties will be applied. Please complete verification to avoid consequences."
"Police Department alert: penalties will be applied. Please complete verification to avoid consequences.","1","1","1","1","Police Department alert: penalties will be applied. Please complete verification to avoid consequences."
"Court Authority alert: unauthorized access detected. Please update your information now.","1","1","1","1","Court Authority alert: unauthorized access detected. Please update your information now."
"Court Authority alert: account will be suspended. Please update your information now.","1","1","1","1","Court Authority alert: account will be suspended. Please update your information now."
"Meta Business Security alert: unauthorized access detected. Please click the link to confirm details.","1","1","1","1","Meta Business Security alert: unauthorized access detected. Please click the link to confirm details."
"Managing Director alert: legal action will be initiated. Please update your information now.","1","1","1","1","Managing Director alert: legal action will be initiated. Please update your information now."
"Court Authority alert: device has been compromised. Please update your information now.","1","1","1","1","Court Authority alert: device has been compromised. Please update your information now."
"Income Tax Department alert: legal action will be initiated. Please respond within 24 hours.","1","1","1","1","Income Tax Department alert: legal action will be initiated. Please respond within 24 hours."
"Court Authority alert: security breach identified. Please update your information now.","1","1","1","1","Court Authority alert: security breach identified. Please update your information now."
"FBI alert: penalties will be applied. Please verify your identity immediately.","1","1","1","1","FBI alert: penalties will be applied. Please verify your identity immediately."
"RBI alert: legal action will be initiated. Please complete verification to avoid consequences.","1","1","1","1","RBI alert: legal action will be initiated. Please complete verification to avoid consequences."
"Apple Support alert: unauthorized access detected. Please verify your identity immediately.","1","1","1","1","Apple Support alert: unauthorized access detected. Please verify your identity immediately."
"Google Security Team alert: security breach identified. Please verify your identity immediately.","1","1","1","1","Google Security Team alert: security breach identified. Please verify your identity immediately."
"FBI alert: security breach identified. Please update your information now.","1","1","1","1","FBI alert: security breach identified. Please update your information now."
"Income Tax Department alert: device has been compromised. Please complete verification to avoid consequences.","1","1","1","1","Income Tax Department alert: device has been compromised. Please complete verification to avoid consequences."
"Court Authority alert: account will be suspended. Please click the link to confirm details.","1","1","1","1","Court Authority alert: account will be suspended. Please click the link to confirm details."
"FBI alert: legal action will be initiated. Please click the link to confirm details.","1","1","1","1","FBI alert: legal action will be initiated. Please click the link to confirm details."
"HR Department alert: penalties will be applied. Please click the link to confirm details.","1","1","1","1","HR Department alert: penalties will be applied. Please click the link to confirm details."
"Income Tax Department alert: financial loss may occur. Please update your information now.","1","1","1","1","Income Tax Department alert: financial loss may occur. Please update your information now."
"FBI alert: device has been compromised. Please verify your identity immediately.","1","1","1","1","FBI alert: device has been compromised. Please verify your identity immediately."
"Managing Director alert: device has been compromised. Please update your information now.","1","1","1","1","Managing Director alert: device has been compromised. Please update your information now."
"Cyber Crime Cell alert: data leak detected. Please respond within 24 hours.","1","1","1","1","Cyber Crime Cell alert: data leak detected. Please respond within 24 hours."
"Bank Compliance Department alert: data leak detected. Please complete verification to avoid consequences.","1","1","1","1","Bank Compliance Department alert: data leak detected. Please complete verification to avoid consequences."
"Bank Compliance Department alert: unauthorized access detected. Please click the link to confirm details.","1","1","1","1","Bank Compliance Department alert: unauthorized access detected. Please click the link to confirm details."
"RBI alert: financial loss may occur. Please complete verification to avoid consequences.","1","1","1","1","RBI alert: financial loss may occur. Please complete verification to avoid consequences."
"FBI alert: data leak detected. Please verify your identity immediately.","1","1","1","1","FBI alert: data leak detected. Please verify your identity immediately."
"Apple Support alert: penalties will be applied. Please respond within 24 hours.","1","1","1","1","Apple Support alert: penalties will be applied. Please respond within 24 hours."
"Apple Support alert: legal action will be initiated. Please update your information now.","1","1","1","1","Apple Support alert: legal action will be initiated. Please update your information now."
"FBI alert: security breach identified. Please respond within 24 hours.","1","1","1","1","FBI alert: security breach identified. Please respond within 24 hours."
"Managing Director alert: unauthorized access detected. Please click the link to confirm details.","1","1","1","1","Managing Director alert: unauthorized access detected. Please click the link to confirm details."
"Police Department alert: unauthorized access detected. Please update your information now.","1","1","1","1","Police Department alert: unauthorized access detected. Please update your information now."
"Income Tax Department alert: account will be suspended. Please verify your identity immediately.","1","1","1","1","Income Tax Department alert: account will be suspended. Please verify your identity immediately."
"RBI alert: security breach identified. Please click the link to confirm details.","1","1","1","1","RBI alert: security breach identified. Please click the link to confirm details."
"Police Department alert: device has been compromised. Please update your information now.","1","1","1","1","Police Department alert: device has been compromised. Please update your information now."
"Apple Support alert: account will be suspended. Please update your information now.","1","1","1","1","Apple Support alert: account will be suspended. Please update your information now."
"Microsoft Security Team alert: account will be suspended. Please update your information now.","1","1","1","1","Microsoft Security Team alert: account will be suspended. Please update your information now."
"Court Authority alert: data leak detected. Please update your information now.","1","1","1","1","Court Authority alert: data leak detected. Please update your information now."
"Microsoft Security Team alert: unauthorized access detected. Please verify your identity immediately.","1","1","1","1","Microsoft Security Team alert: unauthorized access detected. Please verify your identity immediately."
"Police Department alert: legal action will be initiated. Please update your information now.","1","1","1","1","Police Department alert: legal action will be initiated. Please update your information now."
"Bank Compliance Department alert: data leak detected. Please update your information now.","1","1","1","1","Bank Compliance Department alert: data leak detected. Please update your information now."
"Cyber Crime Cell alert: data leak detected. Please verify your identity immediately.","1","1","1","1","Cyber Crime Cell alert: data leak detected. Please verify your identity immediately."
"RBI alert: account will be suspended. Please update your information now.","1","1","1","1","RBI alert: account will be suspended. Please update your information now."
"Income Tax Department alert: data leak detected. Please verify your identity immediately.","1","1","1","1","Income Tax Department alert: data leak detected. Please verify your identity immediately."
"FBI alert: device has been compromised. Please respond within 24 hours.","1","1","1","1","FBI alert: device has been compromised. Please respond within 24 hours."
"Police Department alert: penalties will be applied. Please click the link to confirm details.","1","1","1","1","Police Department alert: penalties will be applied. Please click the link to confirm details."
"Meta Business Security alert: device has been compromised. Please complete verification to avoid consequences.","1","1","1","1","Meta Business Security alert: device has been compromised. Please complete verification to avoid consequences."
"Company CEO alert: device has been compromised. Please click the link to confirm details.","1","1","1","1","Company CEO alert: device has been compromised. Please click the link to confirm details."
"Income Tax Department alert: security breach identified. Please click the link to confirm details.","1","1","1","1","Income Tax Department alert: security breach identified. Please click the link to confirm details."
"Income Tax Department alert: legal action will be initiated. Please complete verification to avoid consequences.","1","1","1","1","Income Tax Department alert: legal action will be initiated. Please complete verification to avoid consequences."
"FBI alert: data leak detected. Please respond within 24 hours.","1","1","1","1","FBI alert: data leak detected. Please respond within 24 hours."
"Google Security Team alert: account will be suspended. Please update your information now.","1","1","1","1","Google Security Team alert: account will be suspended. Please update your information now."
"Apple Support alert: account will be suspended. Please respond within 24 hours.","1","1","1","1","Apple Support alert: account will be suspended. Please respond within 24 hours."
"Google Security Team alert: financial loss may occur. Please complete verification to avoid consequences.","1","1","1","1","Google Security Team alert: financial loss may occur. Please complete verification to avoid consequences."
"Apple Support alert: data leak detected. Please complete verification to avoid consequences.","1","1","1","1","Apple Support alert: data leak detected. Please complete verification to avoid consequences."
"Meta Business Security alert: legal action will be initiated. Please complete verification to avoid consequences.","1","1","1","1","Meta Business Security alert: legal action will be initiated. Please complete verification to avoid consequences."
"Apple Support alert: data leak detected. Please respond within 24 hours.","1","1","1","1","Apple Support alert: data leak detected. Please respond within 24 hours."
"Police Department alert: data leak detected. Please complete verification to avoid consequences.","1","1","1","1","Police Department alert: data leak detected. Please complete verification to avoid consequences."
"RBI alert: account will be suspended. Please click the link to confirm details.","1","1","1","1","RBI alert: account will be suspended. Please click the link to confirm details."
"Police Department alert: data leak detected. Please click the link to confirm details.","1","1","1","1","Police Department alert: data leak detected. Please click the link to confirm details."
"RBI alert: legal action will be initiated. Please respond within 24 hours.","1","1","1","1","RBI alert: legal action will be initiated. Please respond within 24 hours."
"Income Tax Department alert: security breach identified. Please update your information now.","1","1","1","1","Income Tax Department alert: security breach identified. Please update your information now."
"Police Department alert: penalties will be applied. Please respond within 24 hours.","1","1","1","1","Police Department alert: penalties will be applied. Please respond within 24 hours."
"Cyber Crime Cell alert: security breach identified. Please click the link to confirm details.","1","1","1","1","Cyber Crime Cell alert: security breach identified. Please click the link to confirm details."
"RBI alert: unauthorized access detected. Please update your information now.","1","1","1","1","RBI alert: unauthorized access detected. Please update your information now."
"Microsoft Security Team alert: penalties will be applied. Please update your information now.","1","1","1","1","Microsoft Security Team alert: penalties will be applied. Please update your information now."
"Income Tax Department alert: financial loss may occur. Please complete verification to avoid consequences.","1","1","1","1","Income Tax Department alert: financial loss may occur. Please complete verification to avoid consequences."
"Google Security Team alert: device has been compromised. Please click the link to confirm details.","1","1","1","1","Google Security Team alert: device has been compromised. Please click the link to confirm details."
"Company CEO alert: security breach identified. Please verify your identity immediately.","1","1","1","1","Company CEO alert: security breach identified. Please verify your identity immediately."
"Managing Director alert: device has been compromised. Please verify your identity immediately.","1","1","1","1","Managing Director alert: device has been compromised. Please verify your identity immediately."
"HR Department alert: security breach identified. Please click the link to confirm details.","1","1","1","1","HR Department alert: security breach identified. Please click the link to confirm details."
"Company CEO alert: account will be suspended. Please verify your identity immediately.","1","1","1","1","Company CEO alert: account will be suspended. Please verify your identity immediately."
"Microsoft Security Team alert: financial loss may occur. Please respond within 24 hours.","1","1","1","1","Microsoft Security Team alert: financial loss may occur. Please respond within 24 hours."
"RBI alert: security breach identified. Please verify your identity immediately.","1","1","1","1","RBI alert: security breach identified. Please verify your identity immediately."
"Cyber Crime Cell alert: unauthorized access detected. Please verify your identity immediately.","1","1","1","1","Cyber Crime Cell alert: unauthorized access detected. Please verify your identity immediately."
"FBI alert: account will be suspended. Please verify your identity immediately.","1","1","1","1","FBI alert: account will be suspended. Please verify your identity immediately."
"Company CEO alert: data leak detected. Please respond within 24 hours.","1","1","1","1","Company CEO alert: data leak detected. Please respond within 24 hours."
"FBI alert: penalties will be applied. Please respond within 24 hours.","1","1","1","1","FBI alert: penalties will be applied. Please respond within 24 hours."
"Income Tax Department alert: penalties will be applied. Please complete verification to avoid consequences.","1","1","1","1","Income Tax Department alert: penalties will be applied. Please complete verification to avoid consequences."
"Police Department alert: account will be suspended. Please respond within 24 hours.","1","1","1","1","Police Department alert: account will be suspended. Please respond within 24 hours."
"Google Security Team alert: unauthorized access detected. Please complete verification to avoid consequences.","1","1","1","1","Google Security Team alert: unauthorized access detected. Please complete verification to avoid consequences."
"FBI alert: legal action will be initiated. Please update your information now.","1","1","1","1","FBI alert: legal action will be initiated. Please update your information now."
"RBI alert: account will be suspended. Please verify your identity immediately.","1","1","1","1","RBI alert: account will be suspended. Please verify your identity immediately."
